timestamp,elapsed_seconds,gpu_id,gpu_name,gpu_temp_c,gpu_power_w,gpu_fan_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_util_pct,gpu_tflops,inlet_temp_c,exhaust_temp_c,cpu_temp_c,fan_power_w,psu_power_w,cpu_power_w,mem_power_w
2026-01-06T06:11:21.852597,0.0,0,NVIDIA B200,34.0,202.89,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:21.852597,0.0,1,NVIDIA B200,41.0,198.36,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:21.852597,0.0,2,NVIDIA B200,42.0,200.87,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:21.852597,0.0,3,NVIDIA B200,35.0,192.57,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:21.852597,0.0,4,NVIDIA B200,35.0,194.53,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:21.852597,0.0,5,NVIDIA B200,42.0,206.45,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:21.852597,0.0,6,NVIDIA B200,41.0,196.76,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:21.852597,0.0,7,NVIDIA B200,35.0,199.2,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:23.139886,1.29,0,NVIDIA B200,34.0,202.85,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:23.139886,1.29,1,NVIDIA B200,41.0,198.19,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:23.139886,1.29,2,NVIDIA B200,42.0,200.93,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:23.139886,1.29,3,NVIDIA B200,35.0,192.54,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:23.139886,1.29,4,NVIDIA B200,35.0,194.73,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:23.139886,1.29,5,NVIDIA B200,42.0,206.51,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:23.139886,1.29,6,NVIDIA B200,41.0,196.62,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:23.139886,1.29,7,NVIDIA B200,35.0,199.2,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:24.393033,2.54,0,NVIDIA B200,34.0,203.04,0,180777.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06T06:11:24.393033,2.54,1,NVIDIA B200,41.0,198.07,0,180755.0,183359.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
